feature,mi_score
OverallQual,0.5684603032009328
Neighborhood_te,0.5163724475381
GrLivArea,0.4816830625346431
GarageCars,0.3748689517334769
TotalBsmtSF,0.3670895995685419
GarageArea,0.36617012978929964
YearBuilt,0.36302854446805277
BsmtQual,0.33544145464841746
ExterQual,0.3324450802027554
KitchenQual,0.3284026792880921
1stFlrSF,0.3090384826514696
GarageYrBlt,0.2900043403965178
MSSubClass,0.28526451928878727
GarageFinish,0.2691052746888267
FullBath,0.2648049296065744
YearRemodAdd,0.26134646870650524
FireplaceQu,0.2083856658550678
GarageType,0.20715050096035004
Foundation,0.2070687222836718
TotRmsAbvGrd,0.20253886053415604
2ndFlrSF,0.19713281842142782
Fireplaces,0.17178878924363117
HeatingQC,0.16626813027277665
BsmtFinType_combined,0.1499468607510086
BsmtFinSF1,0.14851096023891586
OpenPorchSF,0.14844734201537735
Exterior_combined,0.13302561973478744
Lot_ratio,0.1256440935399561
MSZoning_residential,0.12294162800700836
BsmtUnfSF,0.12132445346311105
OverallCond,0.11814426114089116
WoodDeckSF,0.11494100609001379
MasVnrType,0.09224216381758454
MasVnrArea,0.08883551633341336
HouseStyle_encoded,0.08870008461064627
MSSubClass_npisos,0.08867076408998065
LotShape,0.08276196143519465
HalfBath,0.08013951118267837
SaleType,0.08003766681028468
SaleCondition,0.08001618560815515
HouseStyle_npisos,0.07815251425158731
GarageCond,0.07813869531252826
BsmtExposure,0.07801558125877239
GarageQual,0.07106707845680438
BedroomAbvGr,0.06873438188514758
CentralAir,0.06790878108385856
BsmtCond,0.0576132916028711
Electrical,0.05230319891406676
Fence,0.046008794625475025
PavedDrive,0.04489546978045533
BldgType,0.04093172068403228
LandContour,0.030731651400750737
Alley,0.02571748800401541
EnclosedPorch,0.025253974750163444
ExterCond,0.02394701301408242
Condition_combined,0.023416477196121832
Remodeled,0.02166557151135229
KitchenAbvGr,0.021489445202929947
LotConfig,0.01856735398890841
ScreenPorch,0.01802762977833039
BsmtFullBath,0.017710996707251292
Heating,0.013456241505965805
RoofStyle,0.012097016083482126
BsmtHalfBath,0.009082108468198458
HouseStyle_unfinished,0.0071726810544321395
RoofMatl,0.006905457901347667
MiscVal,0.00640999232191275
Functional,0.004815665549524617
MoSold_cos,0.004774146560117654
LandSlope,0.003954282107075491
3SsnPorch,0.0024633396727352652
MSSubClass_unfinished,0.002002706380165309
Street,0.001051264303559285
MiscFeature,0.00013349185186206647
Utilities,1.887379141862766e-15
PoolArea,2.220446049250313e-16
MSZoning_commercial,1.1102230246251565e-16
Id,0.0
LowQualFinSF,0.0
BsmtFinSF2,0.0
PoolQC,0.0
YrSold,0.0
MoSold_sin,0.0
